2023,#genre#
20221218 探秘深海,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/1cd24c543ea041b486edd8029ee48f7a/main.m3u8
20221211 让金属“动”起来,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/6522df86f0f9421ca7ee2757a191d4f1/main.m3u8
20221204 科技带来新生活,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/82802acfce4247c5acb07c8ed38dfb02/main.m3u8
20221127 机器人变形记,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/9527fd0c35fa435fa8cca5110889a399/main.m3u8
20221120 不可思议的天体——黑洞,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/48a96b748ea34818a572d23bcb5018b7/main.m3u8
20221113 神秘的宝石,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/544e367b6ed64151bc8a69744b06f703/main.m3u8
20221106 挑战“石漠化”（下）,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/91d7dfd6c88e47dbb84074793da80277/main.m3u8
20221030 挑战“石漠化”（上）,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/56a9d0c08e0c4ef0bc9fb356523f1162/main.m3u8
20221023 勇闯深海（下）,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/d0f26466e8a944e5805681a76a99d19b/main.m3u8
20221016 勇闯深海（上）,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/07a472afb8234cc4a75bdaa1a219fcfc/main.m3u8
20221009 科幻地标——中国地质博物馆,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/c46c6fbc73eb4d399a76819a311ba574/main.m3u8
20221002 科幻地标——北京古观象台,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/362c9b2cbc0b4376a6ed5b31518a1c65/main.m3u8
20220925 触觉的奥秘,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/2cea4ac2ec744c119f57b335826b9654/main.m3u8
20220918 嗅觉的奥秘,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/d1a56edc0009424f9bb804106f0e4a7b/main.m3u8
20220911 太阳系之旅——走向未来,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/4b77a42d12e54a68a5cdfe746cdb5813/main.m3u8
20220904 太阳系之旅——探索无限,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/1c4af4bc2c344e7f8425e27a2a9f13e5/main.m3u8
20220828 太阳系之旅——寒冷边缘,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/517c5c667f2f408c829aa7db65a1bc8c/main.m3u8
20220821 太阳系之旅——冥王星,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/76c39a641de84fc1b12bd380fd574b47/main.m3u8
20220814 太阳系之旅——天王星与海王星,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/48c7f0e15c784efbbcba3b2a2ef92bc7/main.m3u8
20220807 太阳系之旅——土星,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/a52ba1ad42574f64afcc017605702c3a/main.m3u8
20230507 空中立体建造工厂,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/1bba0d358dc5404293bd99f8824a6761/main.m3u8
20230430 5G赋能智慧矿山,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/72045370e6d0488ab3bb49536ab8d2c8/main.m3u8
20230423 十年铸“句芒”,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/7a863972f601449cae853cc4e93200df/main.m3u8
20230416 “穿越时空”来建岛,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/85cef65bf08e4917aaed78b693b153b9/main.m3u8
20230409 用声波找石油,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/620e4f2f557f400cb949e6f34aa3bb44/main.m3u8
20230402 清明话“水”,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/ff0fbc632e2b4d03a291292486fb4e98/main.m3u8
20230326 神奇的太阳系,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/fcf980aa3686416a89b05529c38cfd53/main.m3u8
20230319 遥望深空的“慧眼”,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/9ba45af0806c432998bceeb8ed70dc3f/main.m3u8
20230312 穿山遁地“钢铁侠”,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/552c9989fde849498dff86654ae1a4c0/main.m3u8
20230305 “扎根”深海,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/9ef4b887344147a0bfb2331d1e6a8c11/main.m3u8
20230226 C919大部件的诞生,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/2811c04dde3f421faeee2500475c456e/main.m3u8
20230219 采棉花的“巨无霸”,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/583aa85b63fe4cccaf876559b9d112fb/main.m3u8
20230212 探秘低温世界,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/a1fd821e4f3848c6ad669bedcc05fe8d/main.m3u8
20230205 北京冬奥再回首（下）,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/bea6c0cf64b748d6bf65d1fcc919aa77/main.m3u8
20230129 北京冬奥再回首（上）,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/4754499aae4e4d40ae7fd14da8381269/main.m3u8
20230122 探寻博物馆,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/6fa65b5501e844e4872ef612f7989809/main.m3u8
20230115 感知世界——嗅觉与触觉,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/1740d404cf8e4579839f1267fd1e3377/main.m3u8
20230108 改造“喀斯特”地貌,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/2aaac66b80514496b8f8ddfb70fcdbfe/main.m3u8
20230101 挑战临近空间,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/4baf01c8def3485c94bf3bc018ece306/main.m3u8
2022,#genre#
20221225 科技助力健康人生,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/72cdccba8cfc47b5958c3a5efcee6706/main.m3u8
20221218 探秘深海,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/1cd24c543ea041b486edd8029ee48f7a/main.m3u8
20221211 让金属“动”起来,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/6522df86f0f9421ca7ee2757a191d4f1/main.m3u8
20221204 科技带来新生活,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/82802acfce4247c5acb07c8ed38dfb02/main.m3u8
20221127 机器人变形记,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/9527fd0c35fa435fa8cca5110889a399/main.m3u8
20221120 不可思议的天体——黑洞,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/48a96b748ea34818a572d23bcb5018b7/main.m3u8
20221113 神秘的宝石,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/544e367b6ed64151bc8a69744b06f703/main.m3u8
20221106 挑战“石漠化”（下）,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/91d7dfd6c88e47dbb84074793da80277/main.m3u8
20221030 挑战“石漠化”（上）,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/56a9d0c08e0c4ef0bc9fb356523f1162/main.m3u8
20221023 勇闯深海（下）,https://newcntv.qcloudcdn.com/asp/hls/main/0303000a/3/default/d0f26466e8a944e5805681a76a99d19b/main.m3u8
